1	_	Toy Story (1995)	_	Animation|Children's|Comedy
2	_	Jumanji (1995)	_	Adventure|Children's|Fantasy
3	_	Grumpier Old Men (1995)	_	Comedy|Romance
4	_	Waiting to Exhale (1995)	_	Comedy|Drama
5	_	Father of the Bride Part II (1995)	_	Comedy
6	_	Heat (1995)	_	Action|Crime|Thriller
7	_	Sabrina (1995)	_	Comedy|Romance
8	_	Tom and Huck (1995)	_	Adventure|Children's
9	_	Sudden Death (1995)	_	Action
10	_	GoldenEye (1995)	_	Action|Adventure|Thriller
11	_	American President, The (1995)	_	Comedy|Drama|Romance
12	_	Dracula Dead and Loving It (1995)	_	Comedy|Horror
13	_	Balto (1995)	_	Animation|Children's
14	_	Nixon (1995)	_	Drama
15	_	Cutthroat Island (1995)	_	Action|Adventure|Romance
16	_	Casino (1995)	_	Drama|Thriller
17	_	Sense and Sensibility (1995)	_	Drama|Romance
18	_	Four Rooms (1995)	_	Thriller
19	_	Ace Ventura When Nature Calls (1995)	_	Comedy
20	_	Money Train (1995)	_	Action
21	_	Get Shorty (1995)	_	Action|Comedy|Drama
22	_	Copycat (1995)	_	Crime|Drama|Thriller
23	_	Assassins (1995)	_	Thriller
24	_	Powder (1995)	_	Drama|Sci-Fi
25	_	Leaving Las Vegas (1995)	_	Drama|Romance
26	_	Othello (1995)	_	Drama
27	_	Now and Then (1995)	_	Drama
28	_	Persuasion (1995)	_	Romance
29	_	City of Lost Children, The (1995)	_	Adventure|Sci-Fi
30	_	Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)	_	Drama
31	_	Dangerous Minds (1995)	_	Drama
32	_	Twelve Monkeys (1995)	_	Drama|Sci-Fi
33	_	Wings of Courage (1995)	_	Adventure|Romance
34	_	Babe (1995)	_	Children's|Comedy|Drama
35	_	Carrington (1995)	_	Drama|Romance
36	_	Dead Man Walking (1995)	_	Drama
37	_	Across the Sea of Time (1995)	_	Documentary
38	_	It Takes Two (1995)	_	Comedy
39	_	Clueless (1995)	_	Comedy|Romance
40	_	Cry, the Beloved Country (1995)	_	Drama
41	_	Richard III (1995)	_	Drama|War
42	_	Dead Presidents (1995)	_	Action|Crime|Drama
43	_	Restoration (1995)	_	Drama
44	_	Mortal Kombat (1995)	_	Action|Adventure
45	_	To Die For (1995)	_	Comedy|Drama
46	_	How to Make an American Quilt (1995)	_	Drama|Romance
47	_	Seven (Se7en) (1995)	_	Crime|Thriller
48	_	Pocahontas (1995)	_	Animation|Children's|Musical|Romance
49	_	When Night Is Falling (1995)	_	Drama|Romance
50	_	Usual Suspects, The (1995)	_	Crime|Thriller
51	_	Guardian Angel (1994)	_	Action|Drama|Thriller
52	_	Mighty Aphrodite (1995)	_	Comedy
53	_	Lamerica (1994)	_	Drama
54	_	Big Green, The (1995)	_	Children's|Comedy
55	_	Georgia (1995)	_	Drama
56	_	Kids of the Round Table (1995)	_	Adventure|Children's|Fantasy
57	_	Home for the Holidays (1995)	_	Drama
58	_	Postino, Il (The Postman) (1994)	_	Drama|Romance
59	_	Confessional, The (Le Confessionnal) (1995)	_	Drama|Mystery
60	_	Indian in the Cupboard, The (1995)	_	Adventure|Children's|Fantasy
61	_	Eye for an Eye (1996)	_	Drama|Thriller
62	_	Mr. Holland's Opus (1995)	_	Drama
63	_	Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996)	_	Comedy
64	_	Two if by Sea (1996)	_	Comedy|Romance
65	_	Bio-Dome (1996)	_	Comedy
66	_	Lawnmower Man 2 Beyond Cyberspace (1996)	_	Sci-Fi|Thriller
67	_	Two Bits (1995)	_	Drama
68	_	French Twist (Gazon maudit) (1995)	_	Comedy|Romance
69	_	Friday (1995)	_	Comedy
70	_	From Dusk Till Dawn (1996)	_	Action|Comedy|Crime|Horror|Thriller
71	_	Fair Game (1995)	_	Action
72	_	Kicking and Screaming (1995)	_	Comedy|Drama
73	_	Misérables, Les (1995)	_	Drama|Musical
74	_	Bed of Roses (1996)	_	Drama|Romance
75	_	Big Bully (1996)	_	Comedy|Drama
76	_	Screamers (1995)	_	Sci-Fi|Thriller
77	_	Nico Icon (1995)	_	Documentary
78	_	Crossing Guard, The (1995)	_	Drama
79	_	Juror, The (1996)	_	Drama|Thriller
80	_	White Balloon, The (Badkonake Sefid ) (1995)	_	Drama
81	_	Things to Do in Denver when You're Dead (1995)	_	Crime|Drama|Romance
82	_	Antonia's Line (Antonia) (1995)	_	Drama
83	_	Once Upon a Time... When We Were Colored (1995)	_	Drama
84	_	Last Summer in the Hamptons (1995)	_	Comedy|Drama
85	_	Angels and Insects (1995)	_	Drama|Romance
86	_	White Squall (1996)	_	Adventure|Drama
87	_	Dunston Checks In (1996)	_	Children's|Comedy
88	_	Black Sheep (1996)	_	Comedy
89	_	Nick of Time (1995)	_	Action|Thriller
90	_	Journey of August King, The (1995)	_	Drama
92	_	Mary Reilly (1996)	_	Drama|Thriller
93	_	Vampire in Brooklyn (1995)	_	Comedy|Romance
94	_	Beautiful Girls (1996)	_	Drama
95	_	Broken Arrow (1996)	_	Action|Thriller
96	_	In the Bleak Midwinter (1995)	_	Comedy
97	_	Hate (Haine, La) (1995)	_	Drama
98	_	Shopping (1994)	_	Action|Thriller
99	_	Heidi Fleiss Hollywood Madam (1995)	_	Documentary
100	_	City Hall (1996)	_	Drama|Thriller
101	_	Bottle Rocket (1996)	_	Comedy
102	_	Mr. Wrong (1996)	_	Comedy
103	_	Unforgettable (1996)	_	Thriller
104	_	Happy Gilmore (1996)	_	Comedy
105	_	Bridges of Madison County, The (1995)	_	Drama|Romance
106	_	Nobody Loves Me (Keiner liebt mich) (1994)	_	Comedy|Drama
107	_	Muppet Treasure Island (1996)	_	Adventure|Children's|Comedy|Musical
108	_	Catwalk (1995)	_	Documentary
109	_	Headless Body in Topless Bar (1995)	_	Comedy
110	_	Braveheart (1995)	_	Action|Drama|War
111	_	Taxi Driver (1976)	_	Drama|Thriller
112	_	Rumble in the Bronx (1995)	_	Action|Adventure|Crime
113	_	Before and After (1996)	_	Drama|Mystery
